"CAS_number"	"Product_name"	"Active_substance"	"Active_substance_original"	"CAS_drugbank"	"Name_drugbank"	"InChiKey_drugbank"	"InChi_drugbank"	"SMILES_drugbank"	"ATC_codes_drugbank"	"Solubility_drugbank"	"MOA_drugbank"	"ID_drugbank"	"CAS_pubchem"	"CID_pubchem"	"Active_substance_pubchem"	"MolecularFormula_pubchem"	"MolecularWeight_pubchem"	"CanonicalSMILES_pubchem"	"IsomericSMILES_pubchem"	"InChI_pubchem"	"InChIKey_pubchem"	"IUPACName_pubchem"	"XLogP_pubchem"	"actMass_pubchem"
"1018448-65-1"	"Kadcyla"	"trastuzumab emtansine"	"Trastuzumab Emtansine"	"1018448-65-1"	"trastuzumab emtansine"	NA	NA	NA	"L01XC14"	""	"Trastuzumab emtansine is a HER2 antibody-drug conjugate. The antibody portion is trastuzumab, which is humanized anti-HER2 IgG1, and produced in the mammalian Chinese Hamster Ovary cells. The drug portion is DM1, which is a maytansine derivative that inhibits microtubules. These two portions are covalently connected by 4-[N-maleimidomethyl] cyclohexane-1-carboxylate (MCC), which is a stable thioether linker. Together MCC and DM1 are called emtansine and are produced by chemical synthesis.
Trastuzumab emtansine binds to the HER2 receptor’s sub-domain IV and goes into the cell by receptor-mediated endocytosis. Lysosomes degrade trastuzumab emtansine and release DM1. DM1 binds to tubulin in microtubules and inhibits microtubule function producing cell arrest and apoptosis. As well, similar to trastuzumab, in vitro studies have shown that both HER2 receptor signalling inhibition and antibody-dependent cytotoxicity are mediated by trastuzumab emtansine.
Target
Actions
Organism

AReceptor tyrosine-protein kinase erbB-2

antibody
Humans"	"DB05773"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1018899-04-1"	"Zynquista"	"sotagliflozin"	"Sotagliflozin"	"1018899-04-1"	"sotagliflozin"	"QKDRXGFQVGOQKS-CRSSMBPESA-N"	"1S/C21H25ClO5S/c1-3-26-15-7-4-12(5-8-15)10-14-11-13(6-9-16(14)22)20-18(24)17(23)19(25)21(27-20)28-2/h4-9,11,17-21,23-25H,3,10H2,1-2H3/t17-,18-,19+,20+,21-/m1/s1"	"CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@@H]2O[C@H](SC)[C@@H](O)[C@H](O)[C@H]2O)C=C1"	"A10BK06"	"0.042 mg/mL"	"Sodium-glucose co-transporter types 1 and 2 (SGLT1 and SGLT2) are integral in the transport of glucose in the body. SGLT1 is the major transporter for glucose absorption in the gastrointestinal tract,1 while SGLT2 is the predominant transporter responsible for reabsorption of glucose in the glomerulus.3
Sotagliflozin is a dual inhibitor of both SGLT1 and SGLT2.3 Inhibition of SGLT1 results in a delay in glucose absorption and a blunting of postprandial hyperglycemia, while inhibition of SGLT2 reduces renal reabsorption of filtered glucose, thereby increasing urinary glucose excretion.
Target
Actions
Organism

ASodium/glucose cotransporter 2

inhibitor
Humans

ASodium/glucose cotransporter 1

inhibitor
Humans"	"DB12713"	NA	24831714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102-06-7"	"1,3-Diphenylguanidin Smartpractice Europe"	"diphenylguanidine"	"Diphenylguanidine"	"102-06-7"	"diphenylguanidine"	"OWRCNXZUPFZXOS-UHFFFAOYSA-N"	"1S/C13H13N3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,(H3,14,15,16)"	"N=C(NC1=CC=CC=C1)NC1=CC=CC=C1"	NA	"0.377 mg/mL"	"Not Available"	"DB14191"	"20277-92-3"	7594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102-71-6"	"Biafine"	"trolamine"	"Trolamine"	"102-71-6"	"trolamine"	"GSEJCLTVZPLZKY-UHFFFAOYSA-N"	"1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2"	"OCCN(CCO)CCO"	"D03AX12"	"497.0 mg/mL"	"As an amine, trolamine is capable of accepting a hydrogen to form hydroxide and a conjugate acid. This raises the pH of the solution. As a surfactant, it can lower the interfacial tension in a mixture or solution to prevent separation of emulsions or precipitation of a compound out of solution."	"DB13747"	"126068-67-5"	7618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"102-77-2"	"Morpholinylmercaptobenzothiazol Smartpractice Europe"	"morpholinylmercapto-benzo-thiazole"	"Morpholinylmercapto-Benzo-Thiazole"	"102-77-2"	"morpholinylmercaptobenzothiazole"	"MHKLKWCYGIBEQF-UHFFFAOYSA-N"	"1S/C11H12N2OS2/c1-2-4-10-9(3-1)12-11(15-10)16-13-5-7-14-8-6-13/h1-4H,5-8H2"	"C1CN(CCO1)SC1=NC2=CC=CC=C2S1"	NA	"0.393 mg/mL"	"Not Available"	"DB14202"	NA	7619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10238-21-8"	"Amglidia"	"glibenclamide"	"Glibenclamide"	"10238-21-8"	"glyburide"	"ZNNLBTZKUZBEKO-UHFFFAOYSA-N"	"1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)"	"COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1"	"A10BB01"	"0.00206 mg/mL"	"Glyburide belongs to a class of drugs known as sulfonylureas.7 These drugs act by closing ATP-sensitive potassium channels on pancreatic beta cells.7 The ATP-sensitive potassium channels on beta cells are known as sulfonylurea receptor 1 (SUR1).7
Under low glucose concentrations, SUR1 remains open, allowing for potassium ion efflux to create a -70mV membrane potential.7
Normally SUR1 closes in response to high glucose concentrations, the membrane potential of the cells becomes less negative, the cell depolarizes, voltage gated calcium channels open, calcium ions enter the cell, and the increased intracellular calcium concentration stimulates the release of insulin containing granules.7
Glyburide bypasses this process by forcing SUR1 closed and stimulating increased insulin secretion.7
Target
Actions
Organism

ASulfonylurea receptor 1, Kir6.2

blocker
Humans

UATP-binding cassette sub-family C member 9

modulator
Humans

UBile salt export pump

inhibitor
Humans

UATP-binding cassette sub-family A member 1

inhibitor
Humans

UMitochondrial ATP-sensitive potassium channel

inhibitor
Humans

UCarnitine O-palmitoyltransferase 1, liver isoform

inhibitor
Humans

UCystic fibrosis transmembrane conductance regulator

antagonist
Humans

UTransient receptor potential cation channel subfamily M member 4

inhibitor
Humans"	"DB01016"	"10238-21-8"	3488	"Glibenclamide"	"C23H28ClN3O5S"	494	"COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3"	"COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3"	"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)"	"ZNNLBTZKUZBEKO-UHFFFAOYSA-N"	"5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide"	4.8	493.1438199
"1024828-77-0"	"Kapruvia"	"difelikefalin"	"Difelikefalin"	"1024828-77-0"	"difelikefalin"	"FWMNVWWHGCHHJJ-SKKKGAJSSA-N"	"1S/C36H53N7O6/c1-24(2)21-29(32(45)40-28(15-9-10-18-37)34(47)43-19-16-36(39,17-20-43)35(48)49)42-33(46)30(23-26-13-7-4-8-14-26)41-31(44)27(38)22-25-11-5-3-6-12-25/h3-8,11-14,24,27-30H,9-10,15-23,37-39H2,1-2H3,(H,40,45)(H,41,44)(H,42,46)(H,48,49)/t27-,28-,29-,30-/m1/s1"	"CC(C)C[C@@H](NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(CC1)C(O)=O"	NA	"0.0103 mg/mL"	"Difelikefalin is a synthetic peptide and agonist of kappa opioid receptors (KORs), which have long been known to be involved with the itching sensation (in addition to playing some role in addiction).1 Endogenous KOR agonists - called dynorphins - have a neuroinhibitory effect on the itching sensation at the spinal cord level and mouse models have shown KOR agonist antipruritic activity when used to treat itching induced by different pruritogens.1
Although the specifics of the mechanism have yet to be elucidated,4 the administration of KOR agonists, like difelikefalin, in patients with uremic pruritus has proven an effective means to suppress scratching and improve their quality of life.
Target
Actions
Organism

AKappa-type opioid receptor

agonist
Humans"	"DB11938"	NA	24794466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10262-69-8"	"Epalon"	"maprotiline hydrochloride"	"Maprotiline Hydrochloride"	"10262-69-8"	"maprotiline"	"QSLMDECMDJKHMQ-UHFFFAOYSA-N"	"1S/C20H23N/c1-21-14-6-12-20-13-11-15(16-7-2-4-9-18(16)20)17-8-3-5-10-19(17)20/h2-5,7-10,15,21H,6,11-14H2,1H3"	"CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21"	"N06AA21"	"0.00015 mg/mL"	"Maprotiline exerts its antidepressant action by inhibition of presynaptic uptake of catecholamines, thereby increasing their concentration at the synaptic clefts of the brain. In single doses, the effect of maprotiline on the EEG revealed a rise in the alpha-wave density, a reduction of the alpha-wave frequency and an increase in the alpha-wave amplitude. However, as with other tricyclic antidepressants, maprotiline lowers the convulsive threshold. Maprotiline acts as an antagonist at central presynaptic a2-adrenergic inhibitory autoreceptors and hetero-receptors, an action that is postulated to result in an increase in central noradrenergic and serotonergic activity. Maprotiline is also a moderate peripheral a1 adrenergic antagonist, which may explain the occasional orthostatic hypotension reported in association with its use. Maprotiline also inhibits the amine transporter, delaying the reuptake of noradrenaline and norepinephrine. Lastly, maprotiline is a strong inhibitor of the histamine H1 receptor, which explains its sedative actions.
Target
Actions
Organism

ASodium-dependent noradrenaline transporter

inhibitor
Humans

NHistamine H1 receptor

antagonist
Humans

NMuscarinic acetylcholine receptor M1

antagonist
Humans

NMuscarinic acetylcholine receptor M2

antagonist
Humans

NMuscarinic acetylcholine receptor M3

antagonist
Humans

NMuscarinic acetylcholine receptor M4

antagonist
Humans

NMuscarinic acetylcholine receptor M5

antagonist
Humans

NAlpha-1 adrenergic receptors

antagonist
Humans

U5-hydroxytryptamine receptor 2A

binder
Humans

U5-hydroxytryptamine receptor 2C

binder
Humans

U5-hydroxytryptamine receptor 7

antagonist
Humans

UDopamine D2 receptor

binder
Humans

UAlpha-2 adrenergic receptors

antagonist
Humans"	"DB00934"	"10347-81-6"	71478	"Maprotiline"	"C20H23N"	277.4	"CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24"	"CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24"	"InChI=1S/C20H23N/c1-21-14-6-12-20-13-11-15(16-7-2-4-9-18(16)20)17-8-3-5-10-19(17)20/h2-5,7-10,15,21H,6,11-14H2,1H3"	"QSLMDECMDJKHMQ-UHFFFAOYSA-N"	"N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenyl)propan-1-amine"	4.6	277.183049738
"102625-70-7"	"Acidwell"	"pantoprazole"	"Pantoprazole"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"102625-70-7"	4679	"Pantoprazole"	"C16H15F2N3O4S"	383.4	"COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC"	"COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC"	"InChI=1S/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15H,8H2,1-2H3,(H,20,21)"	"IQPSEEYGBUAQFF-UHFFFAOYSA-N"	"6-(difluoromethoxy)-2-[(3,4-dimethoxypyridin-2-yl)methylsulfinyl]-1H-benzimidazole"	2.4	383.07513347
"1027-14-1"	"Injectio Trimecainii Chlorati Ardeapharma"	"trimecaine hydrochloride"	"Trimecaine Hydrochloride"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1027-14-1"	2843496	"Trimecaine Hydrochloride"	"C15H25ClN2O"	284.82	"CCN(CC)CC(=O)NC1=C(C=C(C=C1C)C)C.Cl"	"CCN(CC)CC(=O)NC1=C(C=C(C=C1C)C)C.Cl"	"InChI=1S/C15H24N2O.ClH/c1-6-17(7-2)10-14(18)16-15-12(4)8-11(3)9-13(15)5;/h8-9H,6-7,10H2,1-5H3,(H,16,18);1H"	"KOOGJYYOMPUGCW-UHFFFAOYSA-N"	"2-(diethylamino)-N-(2,4,6-trimethylphenyl)acetamide;hydrochloride"	NA	284.1655411
"102767-28-2"	"Cezarius"	"levetiracetam"	"Levetiracetam"	"102767-28-2"	"levetiracetam"	"HPHUVLMMVZITSG-LURJTMIESA-N"	"1S/C8H14N2O2/c1-2-6(8(9)12)10-5-3-4-7(10)11/h6H,2-5H2,1H3,(H2,9,12)/t6-/m0/s1"	"CC[C@H](N1CCCC1=O)C(N)=O"	"N03AX14"	"298.0 mg/mL"	"The exact mechanism through which levetiracetam exerts its anti-epileptic effects is unclear, but is thought to be unique amongst other anti-epileptic medications. Current knowledge suggests that levetiracetam’s binding to synaptic vesicle protein 2A (SV2A) is a key driver of its action. SV2A is a membrane-bound protein that is found on synaptic vesicles and is ubiquitous throughout the CNS4 - it appears to play a role in vesicle exocytosis11,15 and in the modulation of synaptic transmission by increasing the available amount of secretory vesicles available for neurotransmission.7 Stimulation of pre-synaptic SV2A by levetiracetam may inhibit neurotransmitter release,6 but this action does not appear to affect normal neurotransmission. This has led to the suggestion that levetiracetam exclusively modulates the function of SV2A only under pathophysiological conditions.4 Levetiracetam and related analogues showed a correlation between affinity for SV2A and anti-epileptic potency, further suggesting that action at this site contributes to the anti-epileptic activity of the drug.11,15
Levetiracetam has also been shown to indirectly affect GABAergic neurotransmission (despite having no direct effect on GABAergic or glutamatergic receptors) and modulate ionic currents.7 Similarly, levetiracetam has been shown in vitro to inhibit N-type calcium channels.8 How, or even if, these actions are implicated in its anti-epileptic action have yet to be elucidated.
Target
Actions
Organism

AVoltage-dependent N-type calcium channel subunit alpha-1B

inhibitor
Humans

ASynaptic vesicle glycoprotein 2A

agonist
Humans"	"DB01202"	NA	5284583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
